date,published_at,patch_title,champion,patch_url,patch_summary,base_stats_changes,passive_changes,q_changes,w_changes,e_changes,r_changes,other_changes,champion_update
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Cassiopeia,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}","[Base Stats]
Base Mana : 450 ⇒ 480",,,,"[E - Twin Fang]
Bonus Magic Damage : 20 / 43 / 66 / 89 / 112 ⇒ 20 / 45 / 70 / 95 / 120",,,"Base Stats
Base Mana : 450 ⇒ 480
E - Twin Fang
Bonus Magic Damage : 20 / 43 / 66 / 89 / 112 ⇒ 20 / 45 / 70 / 95 / 120"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Graves,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}","[Base Stats]
Base attack damage : 68⇒ 66",,,,,,,"Base Stats
Base attack damage : 68⇒ 66"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Kalista,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,,"[E - Rend]
Total AD scaling on bonus damage per additional stack : (+ 20 / 25 / 30 / 35 / 40% AD) ⇒ (+ 20 / 27.5 / 35 / 42.5 / 50% AD)",,,"E - Rend
Total AD scaling on bonus damage per additional stack : (+ 20 / 25 / 30 / 35 / 40% AD) ⇒ (+ 20 / 27.5 / 35 / 42.5 / 50% AD)"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Karma,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,,,"[R - Mantra]
Empowered E - Defiance Bonus Primary / Secondary Target Shield : 50 / 100 / 150 / 200 (+45% AP) ⇒ 45 / 85 / 125 / 165 (+45% AP)",,"R - Mantra
Empowered E - Defiance Bonus Primary / Secondary Target Shield : 50 / 100 / 150 / 200 (+45% AP) ⇒ 45 / 85 / 125 / 165 (+45% AP)"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Nami,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,"[W - Ebb and Flow]
Bounce Modifier : -10% (+10% per 100 AP) effect per bounce ⇒ -20% (+15% per 100 AP) effect per bounce",,,,"W - Ebb and Flow
Bounce Modifier : -10% (+10% per 100 AP) effect per bounce ⇒ -20% (+15% per 100 AP) effect per bounce"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Ornn,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,"[W - Bellows Breath]
Brittle Proc Damage : 10-18% (Levels 1-18) ⇒ 9-17% (Levels 1-18)",,,,"W - Bellows Breath
Brittle Proc Damage : 10-18% (Levels 1-18) ⇒ 9-17% (Levels 1-18)"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Rell,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,,"[E - Full Tilt]
Move Speed : 3s of 10%, increased to 25% when facing the empowered ally or a visible enemy champion ⇒ 15%, increased to 30%","[R - Magnet Storm]
Damage : 120 / 200 / 280 (+110% AP) ⇒ 150 / 200 / 350 (+110% AP)",,"E - Full Tilt
Move Speed : 3s of 10%, increased to 25% when facing the empowered ally or a visible enemy champion ⇒ 15%, increased to 30%
R - Magnet Storm
Damage : 120 / 200 / 280 (+110% AP) ⇒ 150 / 200 / 350 (+110% AP)"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Singed,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,,,"[R - Insanity Potion]
Bonus Stats : 25 / 60 / 95 ⇒ 25 / 55 / 85",,"R - Insanity Potion
Bonus Stats : 25 / 60 / 95 ⇒ 25 / 55 / 85"
2026-03-31,2026-03-31 18:00:00+00:00,League of Legends Patch 26.7 Notes,Veigar,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-7-notes,"{'type': 'html', 'body': 'Tons of fun and fried chicken to be had!'}",,,,,,"[R - Primordial Burst]
Cooldown : 100 / 80 / 60 ⇒ 120 / 90 / 60",,"R - Primordial Burst
Cooldown : 100 / 80 / 60 ⇒ 120 / 90 / 60"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Ahri,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}",,,"[Q - Orb of Deception]
Damager per Pass : 40 / 65 / 90 / 115 / 140 ⇒ 35 / 60 / 85 / 110 / 135",,,,,"Q - Orb of Deception
Damager per Pass : 40 / 65 / 90 / 115 / 140 ⇒ 35 / 60 / 85 / 110 / 135"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Azir,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}",,,"[Q - Conquering Sands]
Damage AP Ratio : (+ 35% AP) ⇒ (+ 35 / 40 / 45 / 50 / 55% AP)","[W - Arise!]
Damage : 0-45 (5 damage per level starting at level 10) ⇒ 0-72 (7 damage per level starting at level 10)
Damage AP Ratio : (+ 32.5 / 40 / 47.5 / 55 / 62.5% AP) ⇒ (+35 / 42.5 / 50 / 57.5 / 65% AP)",,,,"Q - Conquering Sands
Damage AP Ratio : (+ 35% AP) ⇒ (+ 35 / 40 / 45 / 50 / 55% AP)
W - Arise!
Damage : 0-45 (5 damage per level starting at level 10) ⇒ 0-72 (7 damage per level starting at level 10)
Damage AP Ratio : (+ 32.5 / 40 / 47.5 / 55 / 62.5% AP) ⇒ (+35 / 42.5 / 50 / 57.5 / 65% AP)"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Cassiopeia,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}","[Base Stats]
Base Mana : 450 ⇒ 480",,,,"[E - Twin Fang]
Bonus Magic Damage to Poisoned Targets : 20 / 43 / 66 / 89 / 112 ⇒ 20 / 45 / 70 / 90 / 120",,,"Base Stats
Base Mana : 450 ⇒ 480
E - Twin Fang
Bonus Magic Damage to Poisoned Targets : 20 / 43 / 66 / 89 / 112 ⇒ 20 / 45 / 70 / 90 / 120"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Lissandra,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}","[Base Stats]
Armor Growth : 4.9 ⇒ 4.2",,"[Q - Ice Shard]
Cooldown : 8 / 7 / 6 / 5 / 4 ⇒ 7 / 6 / 5 / 4 / 3",,,,,"Base Stats
Armor Growth : 4.9 ⇒ 4.2
Q - Ice Shard
Cooldown : 8 / 7 / 6 / 5 / 4 ⇒ 7 / 6 / 5 / 4 / 3"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Olaf,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}","[Base Stats]
Base Attack Speed : 0.694 ⇒ 0.72",,"[Q - Undertow]
Slow Amount : 25 / 30 / 40 / 45% for 1.5- 2.5 seconds (based on distance) ⇒ 30 / 40 / 45 / 50% for 1-3 seconds (based on distance)
Bug Fix : Enemies only struck by the Lollipop at the end of the Q are now slowed for the proper amount of time (was a fixed 30% slow).","[W - Tough it Out]
Bug Fix : If you cast W while the previous cast was still active, it now properly re-applies its effects rather than just refreshing the prior cast (you get the attack reset and the AS value is updated).","[E - Reckless Swing]
Damage to Self : 30% of Damage Dealt ⇒ 40% of Damage Dealt",,,"Base Stats
Base Attack Speed : 0.694 ⇒ 0.72
Q - Undertow
Slow Amount : 25 / 30 / 40 / 45% for 1.5- 2.5 seconds (based on distance) ⇒ 30 / 40 / 45 / 50% for 1-3 seconds (based on distance)
Bug Fix : Enemies only struck by the Lollipop at the end of the Q are now slowed for the proper amount of time (was a fixed 30% slow).
W - Tough it Out
Bug Fix : If you cast W while the previous cast was still active, it now properly re-applies its effects rather than just refreshing the prior cast (you get the attack reset and the AS value is updated).
E - Reckless Swing
Damage to Self : 30% of Damage Dealt ⇒ 40% of Damage Dealt"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Pyke,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}","[Base Stats]
Base Armor : 43 ⇒ 37",,,,,,,"Base Stats
Base Armor : 43 ⇒ 37"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Shen,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}",,,"[Q - Twilight Assault]
Monster Damage Cap : 120 / 140 / 160 / 180 / 200 ⇒ 100 / 125 / 150 / 175 / 200",,,,,"Q - Twilight Assault
Monster Damage Cap : 120 / 140 / 160 / 180 / 200 ⇒ 100 / 125 / 150 / 175 / 200"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Skarner,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}",,,"[Q - Shattered Earth]
Mana Cost : 45 ⇒ 30
Third Attack Target Max Health Damage : 9% ⇒ 11%",,,,,"Q - Shattered Earth
Mana Cost : 45 ⇒ 30
Third Attack Target Max Health Damage : 9% ⇒ 11%"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Tryndamere,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}","[Base Stats]
Attack Speed Ratio : 0.694 ⇒ 0.725",,,,,,,"Base Stats
Attack Speed Ratio : 0.694 ⇒ 0.725"
2026-03-17,2026-03-17 18:00:00+00:00,League of Legends Patch 26.6 Notes,Zaahen,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-6-notes,"{'type': 'html', 'body': 'It’s time for First Stand and Shyvana’s update!'}",,,,"[W - Dreaded Return]
Secondary Damage : 40 / 60 / 80 / 100 / 120 (+ 50% bonus AD) ⇒ 30 / 50 / 70 / 90 / 110 (+ 30% bonus AD)","[E - Aureate Rush]
Bonus Damage to Monsters : 75 ⇒ 50",,,"W - Dreaded Return
Secondary Damage : 40 / 60 / 80 / 100 / 120 (+ 50% bonus AD) ⇒ 30 / 50 / 70 / 90 / 110 (+ 30% bonus AD)
E - Aureate Rush
Bonus Damage to Monsters : 75 ⇒ 50"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Akali,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}",,,,"[W - Twilight Shroud]
Restealth Timer : 1s / .9s / .825s / .725s / .625s after your last attack or ability (at game times 0:00 / 8:00 / 11:00 / 20:00 / 30:00) ⇒ 1s / .9s / .825s / .725s / .625s (at levels 1 / 7 / 10 / 13 / 16)",,,,"W - Twilight Shroud
Restealth Timer : 1s / .9s / .825s / .725s / .625s after your last attack or ability (at game times 0:00 / 8:00 / 11:00 / 20:00 / 30:00) ⇒ 1s / .9s / .825s / .725s / .625s (at levels 1 / 7 / 10 / 13 / 16)"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Azir,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}","[Base Stats]
Health Growth : 119 ⇒ 108",,,,,,,"Base Stats
Health Growth : 119 ⇒ 108"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Garen,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}","[Base Stats]
Move Speed : 350 ⇒ 345",,"[Q - Decisive Strike]
Move speed duration : 1 / 1.65 / 2.3 / 2.95 / 3.6 ⇒ 1.4 / 1.95 / 2.5 / 3.05 / 3.6
[Q - Taste Their Fear]
Bonus AD : + 110% (231% isolated bonus) ⇒ + 105% (220.5% isolated bonus)",,"[E - Judgment]
Damage per spin : 4 / 7 / 10 / 13 / 16 (+ 38 / 41 / 44 / 47 / 50% AD) ⇒ 4 / 7 / 10 / 13 / 16 (+ 40 / 43 / 46 / 49 / 52% AD)",,,"Q - Decisive Strike
Move speed duration : 1 / 1.65 / 2.3 / 2.95 / 3.6 ⇒ 1.4 / 1.95 / 2.5 / 3.05 / 3.6
E - Judgment
Damage per spin : 4 / 7 / 10 / 13 / 16 (+ 38 / 41 / 44 / 47 / 50% AD) ⇒ 4 / 7 / 10 / 13 / 16 (+ 40 / 43 / 46 / 49 / 52% AD)
Base Stats
Move Speed : 350 ⇒ 345
Q - Taste Their Fear
Bonus AD : + 110% (231% isolated bonus) ⇒ + 105% (220.5% isolated bonus)"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Lee Sin,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}",,,"[Q - Sonic Wave / Resonating Strike]
Base Damage : 60 / 90 / 120 / 150 / 180 ⇒ 65 / 95 / 125 / 155 / 185",,,,,"Q - Sonic Wave / Resonating Strike
Base Damage : 60 / 90 / 120 / 150 / 180 ⇒ 65 / 95 / 125 / 155 / 185"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Lillia,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}",,,"[Q - Blooming Blows]
Bonus AP ratio : 30% ⇒ 35%",,,"[R - Lilting Lullaby]
Base damage : 100 / 150 / 200 ⇒ 150 / 200 / 250
AP ratio : 45% ⇒ 40%
Cooldown : 150 / 130 / 110 ⇒ 140 / 120 / 100","Passive - Dream-Laden Bough
Monster heal bonus AP ratio : 9% ⇒ 15%","Passive - Dream-Laden Bough
Monster heal bonus AP ratio : 9% ⇒ 15%
Q - Blooming Blows
Bonus AP ratio : 30% ⇒ 35%
R - Lilting Lullaby
Base damage : 100 / 150 / 200 ⇒ 150 / 200 / 250
AP ratio : 45% ⇒ 40%
Cooldown : 150 / 130 / 110 ⇒ 140 / 120 / 100"
2026-03-03,2026-03-03 19:00:00+00:00,League of Legends Patch 26.5 Notes,Mel,https://www.leagueoflegends.com/en-us/news/game-updates/league-of-legends-patch-26-5-notes,"{'type': 'html', 'body': 'Welcome to the official patch of First Stand, the first major international tournament of the year!'}",,,"[Q - Radiant Volley]
Base Damage per Bolt : 5 / 6 / 7 / 8 / 9 ⇒ 5 / 7 / 9 / 11 / 13
Total Q Base Damage : 90 / 132 / 176 / 222 / 270 ⇒ 90 / 145 / 200 / 255 / 310",,,"[R - Golden Eclipse]
Initial Base Damage : 100 / 150 / 200 ⇒ 125 / 200 / 275","Passive - Searing Brilliance
Minion Damage Modifier : 0.6x ⇒ 0.5x","Passive - Searing Brilliance
Minion Damage Modifier : 0.6x ⇒ 0.5x
Q - Radiant Volley
Base Damage per Bolt : 5 / 6 / 7 / 8 / 9 ⇒ 5 / 7 / 9 / 11 / 13
Total Q Base Damage : 90 / 132 / 176 / 222 / 270 ⇒ 90 / 145 / 200 / 255 / 310
R - Golden Eclipse
Initial Base Damage : 100 / 150 / 200 ⇒ 125 / 200 / 275"
